ID,ROUND,MONTH,WEEKDAY,LANG,D1,D6_1,D6_2A,D6_2B,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,QA1,QA2A,QA3A,QA2B,QA3B,QA2C,QA22,QA4,QA6A_1,QA7A_1,QA7AI_1,QA7AII_1,QA8A_1,QA8AI_1,QA6A_2,QA7A_2,QA7AI_2,QA7AII_2,QA8A_2,QA8AI_2,QA6A_3,QA7A_3,QA7AI_3,QA7AII_3,QA8A_3,QA8AI_3,QA6A_4,QA7A_4,QA7AI_4,QA7AII_4,QA8A_4,QA8AI_4,QA6A_5,QA7A_5,QA7AI_5,QA7AII_5,QA8A_5,QA8AI_5,QA6A_6,QA7A_6,QA7AI_6,QA7AII_6,QA8A_6,QA8AI_6,QA6A_7,QA7A_7,QA7AI_7,QA7AII_7,QA8A_7,QA8AI_7,QA6A_8,QA7A_8,QA7AI_8,QA7AII_8,QA8A_8,QA8AI_8,QB1_1,QB4_1,QB1_2,QB4_2,QB1_3,QB4_3,QB1_4,QB4_4,QB1_5,QB4_5,QB1_6,QB4_6,QB1_7,QB4_7,QB1_8,QB4_8,QC1_1,QC1_2,QC1_3,QC1_4,QC1_5,QC1_6,QC1_8,QC1_10,QC3_1,QC5_1,QC3_2,QC5_2,QC3_3,QC5_3,QC6_3,QC3_4,QC5_4,QC6_4,QC3_5,QC5_5,QC3_6,QC5_6,QC3_8,QC5_8,QC6_8,QC3_10,QC5_10,QC6_10,QQ1A_1,QQ1A_2,QQ1A_3,QQ1A_4,QQ1A_5,QQ1B,QQ1D,QQ11D,QQ2,QQ11A,QQ3,QQ3A,QQ13A_1,QQ13A_2,QQ13A_3,QQ13A_4,QQ13A_5,QQ13A_6,QQ13A_7,QQ13A_8,QQ13A_9,QQ13A_10,QQ13A_11,QQ13B_1,QQ13B_2,QQ13B_3,QQ13B_4,QQ13B_5,QQ13B_6,QQ13B_7,QQ13B_8,QQ13B_9,QQ13B_10,QQ19A,Q19C_1,Q19C_2,Q19C_3,Q19C_4,Q19C_5,Q19C_6,Q19C_7,Q19C_8,Q19C_9,QQ19B,QQ4C,QQ8,QQ9,QQ10,D10_1,D10_2,D10_3,D10_4,D10_5,D10_6,D10_7,D10_8,D8,D13a,D13b,QA5A_1,QA5A_2,QA5A_3,QA5A_4,QA5A_5,QA5A_6,QA5A_7,QA5A_8,QB3_1,QB3_2,QB3_3,QB3_4,QB3_5,QB3_6,QB3_7,QB3_8,QC2_1,QC2_2,QC2_3,QC2_4,QC2_5,QC2_6,QC2_8,QC2_10,COUNTRY,EDUCATION,AGE,INCOME,HHSIZE,DEPCHILDREN,URBAN,Gross_weight,D3_AT,D3_BE,D3_EE,D3_ES,D3_GR,D3_FI,D3_FR,D3_IE,D3_IT,D3_LT,D3_LU,D3_LV,D3_PT,D3_SI,D3_SK,D3_CY,D3_MT
1003_1_7_2,2,3,7,13,2,3,,3,0,0,1,0,0,0,0,255,,,,,,,999996,1,1,,,1,,1,1,,,1,,6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,0,,,3,4,3,1,1,3,4,1,,,3,1,6,4,1,,,,1,1,0,0,0,,4,,2,5,3,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,,,,,,,,,,3,1,1,0,,0,0,1,1,0,0,0,0,1,0,,2.6,11.97,15.2,,,,,,,,,,,,,,,96,97.72,48,,230,15,,AT,3,8,3,2,0,1,3709.065692,5,,,,,,,,,,,,,,,,
10046_2_7_1,1,11,3,13,2,1,,,1,0,1,1,0,1,0,90,30,1,999997,,,,40,1,1,,,1,,2,1,,,1,,6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,2,3,3,3,,,,,,,2,3,2,3,,,,2,3,1,1,0,0,0,0,,2,,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,,,,,,,,,,2,1,1,999998,,1,1,1,0,0,0,0,0,1,,,14,32,9,,,,,,,,,,,,,,20,80,,,30,50,,20,AT,3,7,3,2,0,1,4268.965357,4,,,,,,,,,,,,,,,,
10055_1_7_2,2,4,6,13,1,1,,,0,0,1,0,0,0,0,49,,,,,,,999996,1,1,,,1,,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,2,4,2,4,2,3,4,1,,,,,,,,,,,1,0,0,0,0,,2,,2,5,1,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,,,,,,,,,,3,3,1,1,2,0,0,1,1,1,1,0,0,1,1,,11.3,20,,,,,,,,,,,,,,,,31,117.2,30,,,,,AT,2,8,5,4,1,1,4600.426066,5,,,,,,,,,,,,,,,,
10077_1_7_2,2,4,1,13,1,3,,4,0,0,1,0,0,0,0,107,,,,,,,999996,2,1,,,0,,3,1,,,0,,1,2,2,,,1,6,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,0,0,,,2,4,2,4,1,2,4,1,2,4,,,,,,,,,1,1,0,0,0,,3,,1,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,0,0,0,1,1,1,0,0,0,2,3,1,1,4,0,0,1,1,0,1,0,0,1,,1,7.8,10.2,13.37,35,,,,,,,,,,,,,,50,200,45,100,,,,AT,3,10,4,2,0,0,1954.039339,7,,,,,,,,,,,,,,,,
10078_1_7_2,2,4,7,13,1,2,6,,1,0,1,0,0,0,1,23,40,1,999997,,,,999999,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,999997,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,2,4,2,5,2,4,2,2,4,1,,,,,,,,,,,1,1,0,0,0,,1,2,1,2,3,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,3,1,1,0,,1,0,1,1,1,0,0,0,1,,1,18,,,,,,,,25,,,,,,,,560,76.99,90,25,,,,,AT,1,1,3,3,0,1,1736.069415,2,,,,,,,,,,,,,,,,
1007_2_7_2,2,3,4,13,2,2,5,,1,1,1,0,0,1,0,20,10,3,999997,,,4,999996,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,,,,,,,,3,4,2,,,,,3,5,2,,,,1,1,0,0,0,,1,2,1,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,,,,,,,,,,4,4,1,1,1,0,0,1,0,0,0,0,0,1,,,33.04,,,,,,,,,,,,,,,,,,,16,,,20,,AT,2,1,4,4,3,1,3080.809792,2,,,,,,,,,,,,,,,,
10088_1_7_2,2,4,3,13,2,2,1,,0,0,1,0,0,0,0,140,,,,,,,999996,1,1,,,1,,5,1,,,1,,10,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,3,4,3,4,3,4,2,3,4,1,,,,,,,,,,,1,1,0,0,0,,3,,2,4,1,,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,3,1,1,1,2,1,0,1,1,1,0,0,0,1,0,,13.5,30,60,,,,,,,,,,,,,,1500,62,130,25,,,,,AT,2,6,5,4,2,0,4784.221986,1,,,,,,,,,,,,,,,,
1008_2_7_2,2,3,4,13,1,3,,2,1,0,0,0,0,0,1,40,10,1,999997,,,,999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,999997,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,,,,,3,4,3,,,,,,3,4,,,,,,,1,1,0,0,0,,1,999999,1,3,1,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,3,2,1,1,3,0,0,1,1,0,0,0,0,1,,,,,,,,,,,20.99,,,,,,,,,,70,,,12.99,,,AT,3,1,5,5,3,1,7276.637714,2,,,,,,,,,,,,,,,,
10090_1_7_2,2,5,5,13,1,2,1,,0,0,1,0,0,0,0,120,,,,,,,999996,6,3,,2,,1,4,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,,,,,2,4,1,2,4,1,,,2,4,1,6,2,2,4,1,1,1,1,0,0,3,2,,1,5,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,3,4,1,1,5,1,1,1,1,1,1,0,0,1,0,,10.57,20.14,,,,,,,,,,,,,,,,,400,19,,15,16,640,AT,3,5,5,4,2,1,6173.729421,4,,,,,,,,,,,,,,,,
10094_1_7_2,2,4,6,13,2,2,1,,0,0,1,0,0,0,0,126,,,,,,,999996,4,2,2,,,1,4,2,2,,,1,2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,0,3,4,3,4,3,4,1,3,4,1,,,,,3,4,1,,,,1,1,0,0,0,,1,3,1,5,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,,,,,2,1,1,0,,1,0,1,1,1,0,0,0,1,0,,24.94,90.8,24.36,,,,,,,,,,,,,,520,90,170,80,,,35,,AT,3,12,4,2,1,1,1433.758731,2,,,,,,,,,,,,,,,,
10096_1_7_2,2,4,4,13,2,1,,,1,0,1,0,0,0,0,97,170,1,999997,,,,999999,2,1,,,1,,1,1,,,1,,12,1,,,0,,4,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,3,4,3,4,3,4,2,3,4,1,,,,,,,,,,,1,1,0,0,0,,1,3,1,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,,,,,,,,,,2,4,1,0,,1,0,1,0,1,1,0,0,1,1,,12,16,147.15,62,,,,,,,,,,,,,390,26,185,39,,,,,AT,1,7,3,4,2,1,4452.049563,5,,,,,,,,,,,,,,,,
100_1_7_2,2,4,5,13,1,1,,,1,0,1,0,0,0,1,200,500,1,999997,,,,400,1,1,,,1,,10,1,,,0,,10,1,,,0,,6,1,,,0,,10,1,,,0,,,,,,,,,,,,,,,,,,,,13,4,3,1,999999,999999,999997,,,,,,,,,,1,1,1,1,1,0,0,0,6,4,6,4,6,4,2,6,4,1,6,3,,,,,,,,,1,1,0,0,0,,2,,1,3,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,,,,,,,,,,999999,1,1,0,,1,0,1,1,1,1,0,0,1,1,,30,100,20,80,30,,,,162.71,30,53.82,,,,,,2500,350,500,100,1500,,,,AT,3,9,4,2,0,1,1361.515158,2,,,,,,,,,,,,,,,,
10105_1_7_2,2,4,1,13,2,2,7,,0,0,0,0,0,0,1,9,,,,,,,999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,3,1,999997,,,,,,,,,,,,1,0,0,0,0,0,0,0,3,4,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,1,3,1,5,2,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,1,1,0,1,1,0,0,3,3,1,0,,1,0,1,1,1,1,0,0,1,0,,,,,,,,,,30,30,,,,,,,850,,,,,,,,AT,3,2,3,1,,1,1926.633505,2,,,,,,,,,,,,,,,,
10113_1_7_2,2,4,5,13,2,2,2,,0,0,1,0,0,0,1,18,,,,,,,999999,3,2,2,,,1,4,2,1,,,1,1,2,2,,,1,5,2,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,7,1,3,1,9,1,2,1,999997,,,,,,,,1,1,1,1,1,0,1,0,3,4,,,3,4,2,2,4,2,2,3,,,2,1,1,,,,1,1,0,0,0,,1,3,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0,0,1,1,1,0,,1,0,1,1,1,0,0,0,1,0,,14,79.9,22.34,50,,,,,20,48,30,80,,,,,800,,200,40,850,,25,,AT,3,4,5,1,,1,2247.257861,1,,,,,,,,,,,,,,,,
10123_2_7_1,1,11,3,13,2,2,2,,1,0,1,0,0,1,0,173,82,5,25,6,0,,50,1,1,,,1,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,3,4,3,4,,,,,,,,,3,6,3,4,2,2,4,2,1,1,0,0,0,,2,,2,5,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,3,1,1,0,,1,1,1,1,1,0,0,0,1,,,136.24,23.16,,,,,,,,,,,,,,,435,148,,,,52,22.58,153.58,AT,2,9,4,3,1,1,3461.401634,2,,,,,,,,,,,,,,,,
10125_1_7_2,2,4,4,13,2,1,,,0,1,1,0,0,0,1,400,,,,,,150,500,12,2,2,,,1,1,2,1,,,1,4,2,1,,,1,5,1,,,1,,6,3,,1,,0,1,2,1,,,0,2,1,,,1,,,,,,,,13,1,999997,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,2,4,2,6,2,4,2,,,,2,6,,,2,1,2,,,,1,1,0,0,0,,4,,1,5,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,,,,,,,,,,1,1,1,1,4,1,0,1,1,1,0,0,0,1,0,,472,48.6,155,30,48,33,18.3,,80,,,,,,,,330,141.48,250,,1000,,26,,AT,1,10,,2,0,0,1433.758731,2,,,,,,,,,,,,,,,,
10127_1_7_2,2,4,1,13,1,2,6,,1,1,1,0,0,0,0,43,70,1,999997,,,150,80,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,,,,,3,4,2,,,,,,,,,,,,,,1,0,0,0,0,,4,,1,5,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,,,,,,,,,,6,4,1,0,,0,0,0,1,1,0,0,0,2,0,,76,,,,,,,,,,,,,,,,,,160,,,,,,AT,1,9,2,3,0,0,1893.005949,2,,,,,,,,,,,,,,,,
10129_2_7_1,1,11,3,13,1,3,,4,0,0,1,0,0,0,1,41,,,,,,,999996,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,999997,,,,,,,,,,,,,,0,1,1,1,1,0,0,0,,,3,4,2,4,2,1,4,1,2,4,,,,,,,,,1,1,0,0,0,,3,,2,5,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,,,,,,,,,,2,1,1,0,,0,0,0,1,0,0,0,0,1,,,31.87,,,,,,,,25,,,,,,,,,175,68,60,45,,,,AT,2,9,3,2,0,0,968.820104,1,,,,,,,,,,,,,,,,
10134_1_7_2,2,4,5,13,1,2,6,,0,0,1,0,0,0,0,31,,,,,,,999999,5,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,3,4,3,4,,,,,,,,,2,4,,,,,,,1,1,0,0,0,,1,2,1,5,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,3,4,1,1,2,1,0,1,1,0,0,0,0,1,,1,20,,,,,,,,,,,,,,,,360,162,,,,8,,,AT,1,1,3,1,,0,1226.155595,1,,,,,,,,,,,,,,,,
10156_1_7_2,2,4,6,13,1,3,,2,1,0,1,0,0,0,0,150,200,1,999997,,,,999996,6,1,,,1,,2,1,,,1,,8,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,0,2,4,2,4,2,4,2,2,4,2,,,2,4,,,,,,,1,0,0,0,0,,1,2,1,4,1,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,3,1,1,0,,1,0,1,0,0,1,0,0,1,0,,50,20,140,,,,,,,,,,,,,,350,80,180,100,,25,,,AT,3,2,3,1,,1,5018.880948,7,,,,,,,,,,,,,,,,
10164_2_7_1,1,11,3,13,1,2,2,,0,0,1,0,0,1,1,15,,,,,,,999996,9,1,,,1,,12,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,13,1,999997,,,,,,,,,,,,1,1,1,1,1,0,1,1,,,6,4,3,4,2,,,,6,4,,,5,6,2,2,4,2,1,1,0,0,0,,1,999999,1,5,3,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,,,,,,,,,,3,1,1,1,1,1,1,1,1,1,0,0,0,1,,,2.6,195.5,,,,,,,2.6,195.5,,,,,,,,50,200,,500,,25,100,AT,2,8,5,4,2,1,3201.682828,6,,,,,,,,,,,,,,,,
